ATU Classification Type,AT Classification Type,Thompson Motif
ATU 1641 Doctor Know-all,AT 1641 Doctor Know-all,K1956. †K1956. Sham wise man.
,,"N611. †N611. Criminal accidentally detected: ""that is the first."""
,,"N688. †N688. What is in the dish: ""Poor Crab"""
,,K1956.1. †K1956.1. Sham wise man gives a purgative and helps find a lost horse.
,,K1956.2. †K1956.2. Sham wise man hides something and is rewarded for finding it.
,,K1961.1.3. †K1961.1.3. Sham parson: the sawed pulpit.
ATU 1641C Gibberish Thought to be Latin,AT 1641C Peasant Who Spoke Latin,K1961.1.2. †K1961.1.2. Sham parson repeats same expression over and over or says a few words of Latin.
ATU 1642 The Good Bargain,AT 1642 The Good Bargain,J1851.1.1. †J1851.1.1. Numskull throws money to frogs so that they can count it.
,,J1852. †J1852. Goods sold to animals.
,,J1853. †J1853. Goods sold to object.
,,J1853.1. †J1853.1. Fool sells goods to a statue.
,,H341. †H341. Suitor test: making princess laugh.
,,K187. †K187. Strokes shared.
,,J1151.2. †J1151.2. Witness claims the borrowed coat: discredited.
ATU 1643 Money Inside the Statue,AT 1643 The Selling Goods to a Statue,J1853.1.1. †J1853.1.1. Money from the broken statue.
ATU 1645 Treasure at Home,AT 1645 Treasure at Home,N531.1. †N531.1. Dream of treasure on the bridge
ATU 1645A Dream of Treasure Bought,AT 1645A Dream of Buried Treasure,E721. †E721. Soul journeys from the body.
,,E730. †E730. Soul in animal form
,,N531.3. †N531.3. Dream of treasure bought.
ATU 1650 The Three Lucky Brothers,"AT 1650 Three Brothers Inherit a Rooster, Scythe, and Cat",N411.1.1. †N411.1.1. Cat as sole inheritance.
,,N411.2.1. †N411.2.1. Sickle as only inheritance.
,,N411. †N411. Object unknown in a country sold for a fortune.
,,N411.2. †N411.2. Sickle sold for fortune in land without sickles.
1651 Whittington's cat,1651 Dick Whittington and His Cat,N411.1. †N411.1. Whittington's cat.
1651A Fortune in Salt,1651A Salt In a Saltless Land,N411.4. †N411.4. Salt in saltless land sold for fortune.
1652 The Wolves in the Stable,1652 The Fiddler and the Wolves,K443.5. †K443.5. Trickster entices wolves out of a stable by music: exacts money from their watcher for his carelessness.
1653 The Robbers under the Tree,1653 The Robbers under the Tree,K335.1.1. †K335.1.1. Object falls on robbers from tree.
,,K1413. †K1413. Guarding the door.
,,K335.1.1.1. †K335.1.1.1. Door falls on robbers from tree.
,,K335.1.2.1. †K335.1.2.1. Corpse thrown among robbers frightens them from treasure.
,,K335.1.1.2. †K335.1.1.2. Cow-hide falls on robbers from tree.
,,K335.1. †K335.1. Robbers frightened from goods
,,N612. †N612. Numskull talks to himself and frightens robbers away.
1653 The Robbers under the Tree,1653A Securing the Door (now ATU 1653),K335.1.1.1. †K335.1.1.1. Door falls on robbers from tree.
1653 The Robbers under the Tree,1653B Two Brothers in a Tree (now ATU 1653),K335.1. †K335.1. Robbers frightened from goods
1655 The profitable exchange,1655 The profitable exchanges,K251.1. †K251.1. The eaten grain and the cock as damages.
1657 How the Jews Were Lured Out of Heaven,1656 Luring Unwanted Souls Out of Heaven,X611. †X611. How the Jews were drawn from heaven.
1661 The Triple Tax,1661 The Multiple Tax,N635. †N635. The triple tax
,,J2225. †J2225. Three reasons for not giving alms.
1663 Deviding Five Eggs Equally between Two Men and One Woman,1663 Deviding Eggs Among Men and Women,J1249.1. †J1249.1. Dividing five eggs equally between two men and one woman.
ATU 1675 The ox (ass) as mayor,AT 1675 The ox that Learned to Talk,K491. Trickster paid to educate an ass.
,,J1882.2. The ass as mayor.
ATU 1676 Pretended Ghost,AT 1676 Sham Ghost is Frightened by His Victim,N384.10. Man playing ghost killed
,,N384.11. Joker playing dead killed.
,,"K1682.1. ""Big 'Fraid and Little 'Fraid."""
ATU 1676 Pretended Ghost,AT 1676A Sham Ghost if Frightened by a Monkey (now ATU 1676),
ATU 1676B Frightened to Death,AT 1676B Girl Who Died of Fright,N384. Death from fright.
,,N384.2. Death in the graveyard; person's clothing is caught; the person thinks something awful is holding him; he dies of fright.
ATU 1678 The boy who had never seen a woman,AT 1678 The boy who had never seen a woman,T371. The boy who had never seen a woman: the Satans.
ATU 1681B Fool as Custodian of Home and Animals,AT 1681B Fool as Housekeeper,K1462. Washing the grandmother -- in boiling water.
,,K1461. Caring for the child: child killed.
ATU 1682 The Horse Learns not to Eat,AT 1682 The Horse That Ate Straw,J1914. Horse taught to live without food.
ATU 1142 How the Lazy Horse Was Cured,AT 1682* Making a Stubborn Mule Go (now ATU 1142),K1181. Hot tin under the horse's tail.
ATU 1337C The Long Night,AT 1684A* The Long Night (now ATU 1337C),J2332. Fool locked in dark room made to believe that it is continuous night.
ATU 1685 The Foolish Bridegroom,AT 1685 The Fool's Courtship and Marriage,J2462.1. The dog Parsley in the soup.
,,J2465.5. Clearing out the room.
,,J2462.2. Casting sheep's eyes at the bride.
ATU 1687 The Forgotten Word,AT 1687 The Forgotten Word,D2004.5. Forgetting by stumbling.
"ATU 1689 ""Thank God They Weren't Peaches""",AT 1689 Gift That Was Thrown at the Giver,"J2563. ""Thank God they weren't peaches!"""
ATU 1689A Two Presents for the King,AT 1689A Two Presents for the King,J2415.1. The two presents to the king: the beet and the horse.
ATU 1692 The Stupid Thief,AT 1692 The Stupid Thief,J2136. Numskull brings about his own capture
,,J2461.1.7. Numskull told to steal something heavy brings millstone.
,,J2461.1.7.1. Numskull as thief: tries to carry off grinding-stone when told by confederates to bring out heavy things.
,,J2136.5.6. Foolish thief asks help of owner.
,,"J2136.5.7. Thieving numskull beats drum (blows trumpet, etc.) he finds in outhouse."
,,J2136.5.5. Foolish thief cooks food and awakens household
ATU 1693 The Literal Fool - the Burning of Lanka,AT 1693 Fool Takes Instructions Literally,J2450. Literal fool.
"ATU 1696 ""What Should I Have Said?""",AT 1696 What Should I Have Said?,J2461. What should I have done (said)?
,,J2461.2. Literal following of instructions about greetings.
"ATU 1697 ""We Three; For Money""","AT 1697 ""We Three; For Money""","C495.2.2. ""We three"" -- ""For gold"" -- ""That is right"": phrases of foreign language."
ATU 1698 Deaf Persons and Their Foolish Answers,AT 1698 Deaf Man's Comical Answers,X111. Deaf men and their answers
ATU 1698C Two Persons Believe Each Other Deaf,AT 1698C Shouting Match Between Two Who Think Each Other Deaf,X111.3. Two persons believe each other deaf.
ATU 1698J The Misunderstood Greeting,AT 1698J Deaf Man's Memorized Answers,X111.5. Deaf man on the bridge.
,,"X111.10. ""Good day."""
ATU 1698K Buyer and the Deaf Seller,AT 1698K The Foreign Salesman,X111.11. Buyer and deaf seller
ATU 1699 Misunderstanding Because of Ignorance of a Foreign Language,AT 1699 A Foreigner's Comical Answers,J2496.2. Misunderstandings because of lack of knowledge of a different language than one's own.
,,X111.7. Misunderstood words lead to comic results
"ATU 1700 ""I Cannot Understand You""","AT 1700 ""I don't Know.""","J2496. ""I don't know"" thought to be a person's name."
ATU 1705 Talking Horse and Dog,AT 1705 An Animal Talks Back,B210.1. Person frightened by animals successively replying to his remarks
ATU 1875 The Boy on the Bear's (Wolf's) Tail,AT 1875 Excaping from a Barrel by Seizing a Tail,X1133.3. Man in barrel grabs wolf by the tail and is drawn out of danger
ATU 1408C The String of Chickens,AT 1876 Chickens on a String (now ATU 1408C),X1267.1. Hawk flies away with geese on a line.-+
ATU 1880 Riding on the Cannonball,AT 1880 Man is Shot from a Cannon,X1852. Boy shot from a cannon.
,,"X1853. Boy with hat of butter, clothes of paper, etc."
ATU 1881 Man Carried Through the Air by Geese,AT 1881 Carried Through the Air by Game Birds,X1258.1. Lie: man carried through air by geese.
ATU 1881* Parrots Fly Away with a Tree,AT 1881* Birds Fly Away with a Tree,X1252. Lies about crows.
ATU 1882 The Man who Fell out of a Balloon,AT 1882 Buried Man Digs Himself Free,X1757. Rope of sand (chaff).
ATU 1882 The Man who Fell out of a Balloon,AT 1882 Buried Man Digs Himself Free,X1731.2.1. Man falls and is buried in earth: goes for spade and digs self out.
ATU 1889 Munchhausen Tales,AT 1889 Munchhausen Tales,X900. Humor of lies and exaggeration
ATU 1889A Shooting off the Leader's Tail,AT 1889A Shooting off the Leader's Tail,X1124.1. Shooting off the leader's tail.
ATU 1889B Hunter Turns Animal Inside Out,AT 1889B Turning an Animal Inside Out,X1124.2. Hunter turns animal inside out.
ATU 1889C Fruit Tree Grows from Head of a Deer,AT 1889C Deer With a Fruit Tree as Antlers,X1130.2. Fruit tree grows from head of deer shot with fruit pits.
ATU 1889D Tree Grows Out of a Horse and Gives Rider Shade,AT 1889D Tree Grows Out of a Horse,X1130.2.1. Tree grows out of horse and gives rider shade
ATU 1889F Frozen Words (Music) Thaw,AT 1889F Frozen Sounds,X1623.2.1. Lie: frozen words thaw out in the spring.
ATU 1889G Man Swallowed by Fish,AT 1889G Another World Inside a Giant Fish,X1723.1. Swallowed person is discovered in animal's stomach still alive.
ATU 1889H Submarine Otherworld,AT 1889H Another World Beneath the Sea,NA
ATU 1889E Descent From the Sky on Rope of Sand (Chaff),AT 1889K Descending on a Rope Made of Chafe (now ATU 1889E),X1757. Rope of sand (chaff)
ATU 1889L Split Dog,AT 1889L Split Dog,X1215.11. Lie: the split dog.
ATU 1889M Snakebite Causes an Object to Swell,AT 1889M Snakebite Causes an Object to Swell,"X1205. Lie: venom of animal (snake, hornet, bee) causes object to swell."
ATU 1889N Long Hunt,AT 1889N Extraordinary Hunting Dog,X1215.9. Lie: obedient or dutiful dog.
ATU 1889P Horse Repaired,"AT 1889P Horse is Cut In Two, Then Sewn Together",NA
ATU 1890 The Lucky Shot,AT 1890 The lucky shot,X1124.3. Accidental discharge of gun kills much game.
ATU 1890F Shot Causes Series of Lucky/Unlucky Accidents,AT 1890D Ramrod Shot (now ATU 1890F),X1122.2. Lie: person shoots many animals with one shot.
ATU 1890F Shot Causes Series of Lucky/Unlucky Accidents,AT 1890E Bent Gun Barrel (now ATU 1890F),X1122.3. Lie: ingenious person bends gun barrel to make spectacular shot.
ATU 1890F Shot Causes Series of Lucky/Unlucky Accidents,AT 1890F Lucky Shot,X1124.3. Accidental discharge of gun kills much game.
ATU 1891 Catching a Rabbit,AT 1891B* Catching Hares with Snuff (now ATU 1891),NA
ATU 1891 Catching a Rabbit,AT 1893A* Two Hares Run Into Each Other and are Caught (now ATU 1891),X1114.1. Two hares run into each other and are caught.
ATU 1894 The man shoots a ramrod full of ducks,AT 1894 Shooting a Ramrod Full of Birds,X1111. Hunter shoots ram-rod full of ducks
ATU 1895 A man wading in water catching many fish in his boots,AT 1895 Catching Fish In Wading Boots,X1112. Hunter catches fish in boots while wading.
ATU 1896 Man Nails the Tail of the Wolf to the Tree,AT 1896 Making an Animal Jump Out of Its Skin,X1132.1. The nailed wolf's tail
ATU 1900 How a Man Came Out of a Tree Stump (Marsh),AT 1900 Escaping from a Hollow Tree on a Bear's Tail,X1133.4. Man escapes from bee's nest on bear's tail.
ATU 1910 Bear (Wolf) Harnessed,AT 1910 Wolf Harnesses Itself by Eating a Horse,X1216.1. The wolf harnessed.
ATU 1911A Horse's New Backbone,AT 1911A Horse With a Broken Back and a Sheep's Skin,X1721.1. New backbone for the horse made from a stick
ATU 1916 The Breathing Tree,AT 1916 The Breathing Tree,X1116. The breathing tree.
ATU 1920 Contest in lying,AT 1920 Contest in lying,X905. Lying contests.
"ATU 1920A ""The Sea Burns""",AT 1920A One Lie Begets Another,X908. Lie: sea has burned up
"ATU 1920B ""I Have No Time to Lie""",AT 1920B No Time to Lie,"X905.4. The liar: ""I have no time to lie today""; lies nevertheless."
ATU 1920D Liar Reduces the Size of His Lie,AT 1920D Reducing the Size of the Lie,X904.1. The liar reduces the size of his lie when his brother steps on his toes to remind him of his lying habits.
,,X904.2. Liar reduces the size of his yarn when challenged.
ATU 1920E* Seeing (Hearing) Enormous Distance,AT 1920E* Seeing or Hearing an Enormous Distance,NA
ATU 1920F* Skillful Hounds,AT 1920F* Intelligent Dog,X1215.8. Lie: intelligent dog.
ATU 1920H Buying Fire by Storytelling,AT 1920H Exchanging a Story for Fire,NA
ATU 1920H* Will Blow Out Lantern,AT 1920H* Lantern and the Fish,NA
ATU 1927 The Cold May Night,AT 1927 The Cold May Night,X1620. Lies about cold weather.
ATU 1930 Schlaraffenland,AT 1930 Schlaraffenland (Land of Cockaigne),X1503. Schlaraffenland.
ATU 1940 The Extraordinary Names,AT 1940 The Extraordinary Names,X1506. The extraordinary names.
ATU 1950 The Three Lazy Ones,AT 1950 Contest in Laziness,W111.1. Contest in laziness
,,W111.1.3. Man will not move in bed when water drops in his eyes.
,,W111.1.1. Man lets legs burn in fire rather than move them.
,,W111.1.2. Man will not lift knife to cut rope about to hang him
"ATU 1951 ""Is Wood Split?""",AT 1951 Lazy Man Refuses a Gift,W111.5.10. Lazy man asks if wood is split before he accepts it as a gift.
ATU 1960A Great Ox,AT 1960A Giant Animal,B871.1.1.1. Giant ox.
ATU 1960A Great Ox,AT 1960A Giant Animal,B875.1. Giant serpent.
ATU 1960A Great Ox,AT 1960A Giant Animal,B871.1.3. Giant sheep
ATU 1960A Great Ox,AT 1960A Giant Animal,B871.1.6. Giant cat
ATU 1960B Great Fish,AT 1960B Giant Fish,B874. Giant fish.
ATU 1960D Great Vegetable,AT 1960D Giant Vegetable,X1401. Lie: the great vegetable.
ATU 1960F Great Kettle,AT 1960F Giant Kettle,X1031.1.1. Lie: The great kettle.
ATU 1960G Great Tree,AT 1960G Giant Plant,F54. Tree to upper world.
ATU 1960H Great Ship,AT 1960H Giant Ship,X1061.1. Remarkable size of great ship.
ATU 1960J Great Bird,AT 1960J Giant Bird,B31.1. Roc.
ATU 1960M Great Insects,AT 1960M Giant Insects,X1280. Lies about insects.
ATU 1960 Great Animal or Object,AT 1960Z Giant Objects (now ATU 1960),Miscellaneous Type
ATU 1962 My Father's Baptism (Wedding),AT 1962 At My Father's Baptism,NA
ATU 1962A Great Wrestlers,AT 1962A Intimidating an Opponent,F531.3.4.1. Giant eats a thousand cattle.
,,F531.6.8.3.3. Giants wrestle with each other
ATU 1965 Disabled Comrades,AT 1965 Knoist and his Three Sons,"X1791. Lie: deaf, dumb, blind, and lame men catch hare"
"ATU 2010 Ehod mi yodea (One, who knows?)",AT 2010 Tales Built on the Number Twelve,Z22. Ehod mi yodea (One; who knows?);
ATU 2012 The Days of the Week,AT 2012 The Forgetful Man Counts the Days of the Week,Z24. The forgetful man counts the days of the week.
,,"Z24.1. Widower tells of his courtship, his marriage, and the death of his wife, all in a week."
,,Z24.1.1. Life story in ten hours:
"ATU 2013 ""There was once a woman, the woman had a son.""",AT 2013 Shall I Tell It Again?,Z17. Rounds.
,,Z49.4. There was once a woman; the woman had a son; the son had red breeches; etc.
ATU 2014 Chains Involving Contradictions or Extremes,AT 2014 Contradictions or Extremes,Z51. Chains involving contradictions or extremes
,,Z51.1. The house is burned down.
ATU 2014 Chains Involving Contradictions or Extremes,AT 2014A Good News and Bad News About a Wedding (now ATU 2014),Z51.1. The house is burned down.
ATU 2015 The goat that would not go home,AT 2015 The Stubborn Goat,Z39.1. The goat who would not go home.
ATU 2016 Wee Wee Woman,AT 2016 Cow That Wouldn't Stand Still,"Z39.2. There was a wee wee woman who had a wee wee cow, etc"
ATU 2019 Pif-Paf-Poltrie,AT 2019 Pif-Paf-Poltrie,Z31.1. Pif Paf Poltrie.
ATU 2021 The Rooster and the Hen,AT 2021 Death of the Little Hen,Z32.1.1. The death of the cock
,,Z32.1. The funeral procession of the hen.
ATU 2021B Rooster Strikes out the Hen's Eye with a Nut,AT 2021B Cock Knocks Out the Hen's Eye,Z43.2. The cock strikes out the hen's eye with a nut.
ATU 2022 Death of the Little Hen,AT 2022 An Animal Mourns the Death of a Spouse,Z32.2. The death of the little hen.
,,Z32.2.1. The death of the little hen described with unusual words.
ATU 2023 Little Ant Marries,AT 2023 Ant Who Married a Mouse,"Z32.3. Little ant finds a penny, buys new clothes with it, and sits in her doorway"
ATU 2025 The Fleeing Pancake,AT 2025 The Fleeing Pancake,Z33.1. The fleeing pancake.
