ATU Classification Type,AT Classification Type,Thompson Motif
ATU 231 The Heron and the Fish,"AT 231 The Crane, The Fish, and The Crab",J657.3. Crane persuades fish to let him change him from one lake into another: he eats fish
ATU 232D* Crow Drops Pebbles into a Water Jug,AT 232D* Crow and the Pitcher,J101. Crow drops pebbles into water jug so as to be able to drink.
ATU 233B Birds Fly Off with the Net,AT 233 Birds in a Net,K581.4.1. Birds caught in net fly away with it.
ATU 233C The Swallow and the Hemp-Seeds,AT 233C Birds and the Hemp Seeds,J621.1. The swallow and the hemp-seeds.
ATU 234 The Nightingale and the Blindworm,AT 234 Nightengale Borrows the Blindworm's Eye,A2241.5. Nightingale borrows blindworm's eye
ATU 234A* Birds Brew Beer,AT 234A* Bird Brews Beer,
ATU 235 The Jay Borrows the Cuckoo's Skin,AT 235 Bird's Beauty Contest,A2241. Animal characteristics: borrowing and not returning.
ATU 236 Magpie Teaches the Dove to Build a Nest,AT 236 Magpie Teaches Nest Building,A2271.1. Thrush teaches dove to build nest.
ATU 236* Misc Tales with Imitation of Bird Sounds,AT 236* Imitating Bird Sounds,A1952. Creation of hoopoe.
ATU 237 The Talking Parrot,AT 237 Parrot is Punished for Telling the Truth,J2211.2. Why the sow was muddy.
ATU 242 The Crow's Oath,AT 242 Crow Captures Frog with Kind Word,K815. Victim lured by kind words approaches trickster and is killed.
ATU 244 Raven in Borrowed Feathers,AT 244 Borrowed Feathers,J951.2. Jay in peacock's (pigeon's) skin unmasked.
ATU 244A* Crane and the Heron,AT 244A* Crane and Heron Woo Each Other,
ATU 244C* Raven Drowns His Young Who Promise to Aid Him When He Becomes Old,AT 244C* Raven Kills Young Who Promise Too Much,J267.1. Raven drowns his young who promise to aid him when he becomes old.
ATU 247 Each Mother Likes Her Own Children Best,AT 247 Each Bird's Child is the Prettiest,T681. Each likes his own children best.
ATU 248 The Dog and the Sparrow,"AT 248 Man, Dog, and Bird",N261. Train of troubles from sparrow's vengeance.
ATU 250A Flounder's Crooked Mouth,AT 250A Flounder's Crooked Mouth,A2231.1.2. Discourteous answer: flounder's crooked mouth.
ATU 253 The Fish in the Net,AT 253 Little Fish Escapes Through the Net,L331. Little fishes escape from the net.
ATU 275 The Race between Two Animals,AT 275 Race Between the Fox and Lobster,K11. Race won by deception.
ATU 275A Race Between Tortoise and Hare,AT 275A Race Between Tortoise and Hare,K11.3. Hare and tortoise race: sleeping hare
ATU 275C Race Between Hare and Hedgehog,AT 275A* Race Between Hedgehog and Hare (ATU 275C),K11.1. Race won by deception: relative helpers.
ATU 276 Crab Walks Backwards: Learned from his Parents,AT 276 Crab that Walked Sideways,J1063.1. Mother crab blames her children for not walking straight.
ATU 277 King of the Frogs,AT 277 Frogs and Their Two Kings,J643.1. Frogs demand a live king.
ATU 277A Frog Tries in Vain to be as Big as an Ox,AT 277A Frog that wanted to be as large as an ox,J955.1. Frog tries in vain to be as big as ox
ATU 278 Frog and Mouse Tied Together,AT 278 Rat and Frog Tie Hands Together to Cross Marsh,J681.1. Rat and frog tie paws together to cross marsh
ATU 278A Frog Persists in Living in Puddle on Road,278A Frog Persists Living in a Puddle on Road,J652.1. Frog persists in living in puddle on road.
ATU 278A* Frogs Decide Not to Jump in Well,AT 278A* Frogs Decide Not to Jump in Well,J752.1. Frogs decide not to jump into the well.
ATU 279* Snake Trying to Surround Crab Refuses to Straighten Himself,AT 279* Snake Embraces Crab,J1053. Snake disregards warnings to improve his manners: eaten by crab.
ATU 280 The Ant Carries a Load as Large as Himself,AT 280 The Ant Carries a Load as Large as Himself,A2251.1. Ant carries load as heavy as himself.
ATU 280A Ant and the Cricket,AT 280A Ant and the Grasshopper,J711.1. Ant and lazy cricket (grasshopper).
ATU 283 Spider and the Fly,AT 283 Spider Invites Fly to Rest on her Curtain,"K815.2. Spider invites wasp (fly) to rest on her ""white curtain"""
ATU 285 The child and the snake,AT 285 Child and the Snake,B391.1. Child feeds snake from its milk-bottle.
ATU 285B* Snake Stays in the Man's Stomach,AT 285B* Woman who Swallowed a Snake,B784.2.1.1. Snake (frog) in human body enticed out by milk (water).
ATU 285A Man and the Wounded Snake,AT 285D Man and Snake Become Enemies (now 285A),J15. Serpent (bird) having injured man refuses reconciliation.
ATU 285E Snake Tries to Bite on a File,AT 285E Snake Tries to Bite on a File,J552.3. Serpent (weasel) tries to bite a file.
"ATU 289 Bat, Diver, and Thornbush Shipwrecked","AT 289 Bat, Bramble, and Coot are Shipwrecked","A2275.5.3. Bat, diver, and thornbush shipwrecked."
ATU 291 Deceptive Tug-of-war,AT 291 Deceptive Tug-of-War,K22. Deceptive tug-of-war.
ATU 292 Ass Tries to Get a Cricket's Voice,AT 292 Locusts Teach Ass to Sing,J512.8. Ass tries to get a cricket's voice.
ATU 293 Debate of the Belly and the Members,AT 293 Body Parts Debate,J461.1. The belly and the members.
ATU 294 The Months and the Seasons,AT 294 Months and Seasons,NA
"ATU 295 The Bean (Mouse), the Straw and the Coal","AT 295 Straw, Coal, and Bean","F1025.1. Bean, straw, and coal go journeying."
ATU 296 Clay Pot and Brass Pot in River,AT 296 Clay Pot and Brass Pot in River,J425.1. Earthen and brazen pots in river.
ATU 298 Contest of Wind and Sun,AT 298 Contest Between Wind and Sun,L351. Contest of wind and sun.
ATU 298C* Reeds Bend before Wind (Flood),"AT 298C* Reed bends, bur Tree Uprooted by Wind",J832. Reeds bend before wind (flood).
ATU 299 Mountain Gives Birth to a Mouse,AT 299 Mountain Gives Birth to a Mouse,U114. Mountain in labor brings forth a mouse.
ATU 300 The Dragon-Slayer,AT 300 The Dragon-Slayer,B312.2.2. Helpful animals obtained by exchange.
,,B11.2.3.1.2.3.1. Seven-headed dragon.
,,B11.10.10. Sacrifice of human being to dragon.
,,T68.1.1. Princess offered as prize to rescuer.
,,D1975. Dragon-fighter's magic sleep.
,,D1978.2.2. Waking from magic sleep by letting tear fall on sleeper.
,,B11.11.11. Fight with dragon.
,,H105.1.1. Dragon-tongue proof.
,,K1932. Impostors claim reward (prize) earned by hero
,,H151.2.2. Attention drawn by helpful animal's theft of food from wedding table; recognition follows.
,,H83. Rescue tokens.
ATU 301 Three Stolen Princesses,AT 301 Rescuing Three Underground Princesses,H1385.1.1. Quest for stolen princess.
,,F102.1.1. Hero shoots monster (or animal) and follows it into lower world.
,,B631. Human offspring from marriage to animal.
,,F601. Extraordinary companions.
,,F451.5.2.5.2. Malevolent dwarf.
,,F92. Pit entrance to lower world.
,,F96. Rope to lower world.
,,R111.2.1.2.1. Princess(es) rescued from lower world.
,,K1931.2.2. Impostors abandon hero in lower world.
,,K1933. Impostor forces oath of secrecy.
,,B322.1.1. Hero feeds own flesh to helpful animal.
